Genre,index genre
Role-playing (RPG),977
Puzzle,980
Real Time Strategy (RTS),980
Strategy,980
Tactical,980
Role-playing (RPG),981
Turn-based strategy (TBS),981
Arcade,990
Platform,990
Arcade,991
Simulator,1001
Unknow,1002
Indie,1009
Role-playing (RPG),1009
Role-playing (RPG),1010
Arcade,1014
Indie,1014
Platform,1014
Adventure,1021
Racing,1021
Shooter,1021
Simulator,1021
Indie,1023
Strategy,1023
Real Time Strategy (RTS),1026
Strategy,1026
Role-playing (RPG),1031
Indie,1060
Role-playing (RPG),1060
Strategy,1060
Turn-based strategy (TBS),1060
Indie,1061
Shooter,1061
Strategy,1062
Puzzle,1065
Puzzle,1072
Arcade,1080
Indie,1080
Shooter,1080
Shooter,1086
Turn-based strategy (TBS),1087
Tactical,1104
Puzzle,1107
Strategy,1114
Tactical,1114
Adventure,1116
Indie,1116
Simulator,1116
Indie,1124
Shooter,1124
Adventure,1128
Simulator,1128
Indie,1137
Shooter,1137
Real Time Strategy (RTS),1139
Strategy,1139
Music,1141
Indie,1145
Puzzle,1145
Arcade,1154
Shooter,1154
Puzzle,1161
Unknow,1171
Indie,1172
Puzzle,1172
Adventure,1174
Indie,1174
Platform,1174
Adventure,1176
Indie,1176
Puzzle,1176
Adventure,1181
Indie,1181
Point-and-click,1181
Role-playing (RPG),1181
Simulator,1181
Racing,1182
Role-playing (RPG),1184
Sport,1184
Adventure,1190
Role-playing (RPG),1190
Role-playing (RPG),1196
Simulator,1196
Puzzle,1203
Arcade,1204
Puzzle,1204
Adventure,1205
Indie,1205
Adventure,1208
Role-playing (RPG),1208
Adventure,1218
Visual Novel,1218
Unknow,1221
Puzzle,1225
Unknow,1230
Indie,1241
Puzzle,1241
Role-playing (RPG),1241
Unknow,1246
Adventure,1251
Simulator,1251
Adventure,1252
Visual Novel,1252
Racing,1257
Simulator,1257
Unknow,1258
Sport,1261
Role-playing (RPG),1262
Shooter,1262
Unknow,1272
Role-playing (RPG),1283
Quiz/Trivia,1284
Simulator,1286
Arcade,1288
Puzzle,1289
Arcade,1300
Indie,1302
Platform,1302
Puzzle,1302
Simulator,1304
Sport,1304
Indie,1305
Shooter,1305
Arcade,1308
Racing,1308
Indie,1310
Adventure,1311
Indie,1311
Music,1311
Hack and slash/Beat 'em up,1319
Platform,1319
Strategy,1323
Tactical,1323
Strategy,1327
Adventure,1332
Simulator,1332
Fighting,1337
Arcade,1341
Platform,1341
Puzzle,1341
Arcade,1342
Role-playing (RPG),1353
Simulator,1353
Unknow,1355
Adventure,1357
Simulator,1357
Role-playing (RPG),1358
Puzzle,1360
Adventure,1362
Indie,1362
Point-and-click,1362
Puzzle,1362
Adventure,1371
Arcade,1371
Indie,1371
Shooter,1371
Simulator,1377
Adventure,1381
Puzzle,1381
Arcade,1382
Indie,1382
Puzzle,1382
Sport,1383
Turn-based strategy (TBS),1383
Arcade,1389
Racing,1389
Adventure,1397
Role-playing (RPG),1397
Unknow,1399
Racing,1404
Sport,1404
Arcade,1414
Indie,1414
Adventure,1416
Shooter,1416
Simulator,1422
Indie,1427
Simulator,1427
Strategy,1427
Adventure,1443
Indie,1443
Platform,1443
Puzzle,1443
Adventure,1450
Role-playing (RPG),1450
Adventure,1451
Indie,1451
Visual Novel,1451
Adventure,1455
Indie,1455
Role-playing (RPG),1455
Adventure,1460
Racing,1460
Shooter,1466
Strategy,1478
Turn-based strategy (TBS),1478
Adventure,1480
Role-playing (RPG),1480
Sport,1488
Arcade,1490
Indie,1490
Role-playing (RPG),1493
Platform,1507
Shooter,1507
Strategy,1508
Indie,1509
Puzzle,1509
Indie,1513
Puzzle,1513
Adventure,1521
Role-playing (RPG),1521
Adventure,1524
Point-and-click,1524
Role-playing (RPG),1524
Indie,1530
Point-and-click,1530
Puzzle,1530
Strategy,1536
Role-playing (RPG),1541
Shooter,1542
Arcade,1544
Adventure,1545
Indie,1545
Platform,1545
Adventure,1549
Fighting,1549
Hack and slash/Beat 'em up,1549
Role-playing (RPG),1549
Adventure,1550
Role-playing (RPG),1550
Shooter,1550
Simulator,1550
Strategy,1550
Arcade,1555
Indie,1555
Racing,1555
Shooter,1555
Puzzle,1559
Arcade,1568
Puzzle,1568
Real Time Strategy (RTS),1574
Strategy,1574
Hack and slash/Beat 'em up,1577
Role-playing (RPG),1577
Adventure,1580
Role-playing (RPG),1580
Fighting,1583
Shooter,1583
Strategy,1583
Arcade,1584
Indie,1584
Indie,1586
Simulator,1586
Adventure,1587
Indie,1587
Point-and-click,1587
Shooter,1587
Tactical,1587
Arcade,1592
Music,1592
Puzzle,1593
Indie,1595
Role-playing (RPG),1595
Strategy,1595
Sport,1597
Adventure,1598
Indie,1598
Puzzle,1598
Role-playing (RPG),1598
Strategy,1598
Strategy,1609
Adventure,1619
Puzzle,1619
Adventure,1621
Indie,1621
Platform,1621
Simulator,1621
Strategy,1621
Arcade,1630
Platform,1632
Role-playing (RPG),1632
Indie,1651
Puzzle,1651
Adventure,1653
Role-playing (RPG),1653
Strategy,1653
Hack and slash/Beat 'em up,1660
Role-playing (RPG),1660
Racing,1666
Adventure,1671
Point-and-click,1671
Puzzle,1671
Arcade,1673
Sport,1673
Indie,1676
Turn-based strategy (TBS),1676
Music,1678
Arcade,1681
Sport,1681
Puzzle,1685
Unknow,1686
Indie,1689
Strategy,1689
Arcade,1692
Indie,1692
Platform,1692
Indie,1694
Role-playing (RPG),1694
Indie,1695
Strategy,1695
Strategy,1697
Role-playing (RPG),1699
Simulator,1699
Fighting,1704
Indie,1704
Simulator,1704
Strategy,1704
Arcade,1705
Arcade,1709
Indie,1709
Music,1709
Platform,1709
Fighting,1710
Adventure,1724
Indie,1724
Puzzle,1724
Strategy,1724
Sport,1725
Platform,1728
Shooter,1728
Adventure,1738
Indie,1738
Platform,1738
Puzzle,1738
Simulator,1743
Arcade,1744
Shooter,1744
Adventure,1750
Indie,1750
Visual Novel,1750
Fighting,1763
Puzzle,1763
Strategy,1764
Adventure,1765
Indie,1765
Indie,1768
Role-playing (RPG),1768
Strategy,1768
Tactical,1768
Adventure,1774
Indie,1774
Point-and-click,1774
Racing,1774
Role-playing (RPG),1774
Simulator,1774
Sport,1774
Strategy,1774
Real Time Strategy (RTS),1787
Strategy,1788
Turn-based strategy (TBS),1788
Role-playing (RPG),1793
Simulator,1793
Turn-based strategy (TBS),1795
Puzzle,1807
Arcade,1812
Strategy,1813
Indie,1818
Strategy,1818
Turn-based strategy (TBS),1818
Adventure,1823
Point-and-click,1823
Puzzle,1823
Hack and slash/Beat 'em up,1826
Role-playing (RPG),1826
Role-playing (RPG),1832
Strategy,1832
Turn-based strategy (TBS),1832
Adventure,1833
Indie,1833
Role-playing (RPG),1833
Platform,1841
Indie,1848
Strategy,1848
Turn-based strategy (TBS),1848
Unknow,1850
Indie,1852
Sport,1852
Adventure,1855
Indie,1855
Puzzle,1855
Strategy,1855
Turn-based strategy (TBS),1855
Unknow,1862
Adventure,1864
Indie,1864
Strategy,1864
Unknow,1868
Unknow,1873
Adventure,1876
Strategy,1879
Arcade,1880
Adventure,1881
Platform,1881
Real Time Strategy (RTS),1881
Strategy,1881
Adventure,1887
Role-playing (RPG),1887
