Genre,index genre
Puzzle,4303
Puzzle,4304
Puzzle,4321
Simulator,4321
Arcade,4337
Indie,4337
Music,4337
Platform,4337
Racing,4348
Simulator,4348
Adventure,4372
Role-playing (RPG),4372
Indie,4378
Puzzle,4378
Simulator,4378
Strategy,4378
Puzzle,4379
Real Time Strategy (RTS),4383
Role-playing (RPG),4383
Strategy,4383
Arcade,4384
Fighting,4384
Racing,4384
Simulator,4385
Strategy,4390
Unknow,4403
Sport,4406
Indie,4421
Platform,4421
Role-playing (RPG),4426
Turn-based strategy (TBS),4426
Arcade,4429
Indie,4451
Strategy,4451
Adventure,4452
Indie,4452
Racing,4452
Puzzle,4453
Indie,4457
Puzzle,4457
Adventure,4458
Point-and-click,4458
Role-playing (RPG),4458
Arcade,4462
Indie,4462
Indie,4464
Turn-based strategy (TBS),4464
Arcade,4473
Indie,4473
Music,4473
Adventure,4474
Simulator,4474
Visual Novel,4474
Puzzle,4475
Adventure,4490
Indie,4490
Role-playing (RPG),4490
Simulator,4490
Strategy,4490
Indie,4491
Role-playing (RPG),4491
Strategy,4491
Arcade,4506
Indie,4510
Role-playing (RPG),4510
Simulator,4510
Sport,4510
Strategy,4510
Adventure,4519
Indie,4519
Role-playing (RPG),4519
Adventure,4521
Point-and-click,4521
Puzzle,4521
Arcade,4534
Simulator,4534
Arcade,4535
Puzzle,4535
Strategy,4535
Adventure,4556
Arcade,4556
Indie,4556
Adventure,4566
Indie,4566
Platform,4566
Puzzle,4566
Racing,4575
Role-playing (RPG),4581
Adventure,4584
Role-playing (RPG),4584
Tactical,4584
Simulator,4627
Role-playing (RPG),4644
Adventure,4649
Puzzle,4649
Adventure,4655
Puzzle,4655
Simulator,4662
Strategy,4662
Adventure,4666
Platform,4666
Arcade,4679
Arcade,4682
Adventure,4686
Arcade,4686
Adventure,4690
Indie,4690
Quiz/Trivia,4690
Indie,4716
Puzzle,4716
Indie,4718
Puzzle,4718
Strategy,4718
Arcade,4731
Indie,4731
Arcade,4732
Indie,4732
Simulator,4732
Adventure,4739
Indie,4739
Role-playing (RPG),4739
Strategy,4739
Role-playing (RPG),4742
Shooter,4744
Hack and slash/Beat 'em up,4750
Shooter,4750
Indie,4756
Strategy,4756
Simulator,4757
Sport,4757
Arcade,4766
Indie,4766
Shooter,4766
Unknow,4770
Adventure,4776
Point-and-click,4776
Puzzle,4776
Racing,4786
Simulator,4786
Puzzle,4803
Indie,4812
Sport,4812
Strategy,4812
Unknow,4824
Indie,4846
Simulator,4846
Unknow,4849
Racing,4867
Puzzle,4870
Adventure,4871
Indie,4871
Platform,4871
Puzzle,4871
Puzzle,4879
Role-playing (RPG),4879
Real Time Strategy (RTS),4894
Simulator,4894
Strategy,4894
Adventure,4906
Indie,4906
Role-playing (RPG),4910
Strategy,4914
Strategy,4923
Turn-based strategy (TBS),4923
Puzzle,4928
Role-playing (RPG),4935
Simulator,4935
Strategy,4935
Adventure,4941
Strategy,4941
Turn-based strategy (TBS),4941
Indie,4949
Role-playing (RPG),4949
Adventure,4953
Shooter,4953
Adventure,4960
Indie,4960
Arcade,4962
Adventure,4965
Indie,4965
Platform,4965
Puzzle,4970
Adventure,4977
Indie,4977
Role-playing (RPG),4977
Puzzle,4985
Indie,4988
Puzzle,4988
Role-playing (RPG),4988
Adventure,4999
Role-playing (RPG),4999
Strategy,4999
Role-playing (RPG),5018
Fighting,5025
Hack and slash/Beat 'em up,5025
Indie,5025
Sport,5025
Indie,5048
Puzzle,5048
Adventure,5051
Indie,5051
Platform,5051
Strategy,5059
Adventure,5070
Fighting,5070
Hack and slash/Beat 'em up,5070
Role-playing (RPG),5070
Arcade,5091
Adventure,5094
Indie,5094
Shooter,5094
Simulator,5094
Indie,5095
Simulator,5095
Real Time Strategy (RTS),5097
Role-playing (RPG),5097
Strategy,5097
Fighting,5108
Indie,5108
Adventure,5116
Arcade,5116
Platform,5116
Real Time Strategy (RTS),5128
Simulator,5128
Strategy,5128
Tactical,5128
Turn-based strategy (TBS),5128
Platform,5149
Puzzle,5149
Unknow,5151
Adventure,5153
Indie,5153
Simulator,5153
Indie,5156
Racing,5156
Role-playing (RPG),5156
Sport,5156
Shooter,5157
Adventure,5162
Indie,5162
Platform,5162
Role-playing (RPG),5162
Simulator,5162
Strategy,5162
Unknow,5176
Adventure,5182
Racing,5182
Shooter,5182
Simulator,5182
Adventure,5185
Simulator,5197
Sport,5197
Adventure,5202
Role-playing (RPG),5202
Simulator,5202
Strategy,5202
Turn-based strategy (TBS),5202
Adventure,5208
Puzzle,5208
Arcade,5213
Indie,5213
Arcade,5220
Fighting,5220
Indie,5220
Sport,5220
Shooter,5236
Simulator,5236
Sport,5236
Adventure,5253
Indie,5253
Point-and-click,5253
Puzzle,5253
Adventure,5268
Point-and-click,5268
Puzzle,5268
Adventure,5273
Indie,5273
Real Time Strategy (RTS),5273
Role-playing (RPG),5273
Strategy,5273
Tactical,5273
Role-playing (RPG),5281
Strategy,5281
Adventure,5285
Role-playing (RPG),5285
Indie,5300
Music,5300
Puzzle,5300
Adventure,5306
Indie,5306
Puzzle,5306
Role-playing (RPG),5307
Strategy,5307
Turn-based strategy (TBS),5307
Adventure,5309
Indie,5309
Puzzle,5309
Arcade,5313
Fighting,5326
Simulator,5327
Strategy,5327
Adventure,5329
Fighting,5329
Real Time Strategy (RTS),5335
Role-playing (RPG),5335
Strategy,5335
Adventure,5343
Fighting,5343
Indie,5343
Puzzle,5343
Role-playing (RPG),5343
Strategy,5343
Adventure,5349
Indie,5349
Puzzle,5349
Arcade,5354
Arcade,5355
Racing,5355
Simulator,5355
Indie,5358
Real Time Strategy (RTS),5358
Simulator,5358
Strategy,5358
Real Time Strategy (RTS),5367
Role-playing (RPG),5367
Turn-based strategy (TBS),5367
Racing,5372
Adventure,5376
Indie,5376
Point-and-click,5376
